session,sestype,sess_code,group_nb,part,dec_in_part,ind_partner,first_offer,g_memb_1,g_memb_2,g_memb_3,g_memb_4,g_memb_5,sess_sub1,sess_sub2,sess_sub3,sess_sub4,sess_sub5,male_1,male_2,male_3,male_4,male_5,age_1,age_2,age_3,age_4,age_5,econ_1,econ_2,econ_3,econ_4,econ_5,ind_ind_offer_1,ind_ind_offer_2,ind_ind_offer_3,ind_ind_offer_4,ind_ind_offer_5,g_ind_offer_1,g_ind_offer_2,g_ind_offer_3,g_ind_offer_4,g_ind_offer_5,group,1st,2nd,3rd,4th,5th,1st_male,2nd_male,3rd_male,4th_male,5th_male,1st_female,2nd_female,3rd_female,4th_female,5th_female,1st_econ,2nd_econ,3rd_econ,4th_econ,5th_econ,1st_age,2nd_age,3rd_age,4th_age,5th_age,,
2,IMPERSONAL,080208OD,3,3,1,1,10,1,22,13,4,25,2_1,2_22,2_13,2_4,2_25,1,0,1,0,0,21,18,18,18,22,1,0,0,0,0,,,,,,1,0,10,8,10,8,0,1,8,10,10,0,1,0,0.5,0.5,1,0,1,0.5,0.5,0,1,0,0,0,18,21,18,20,20,,
2,IMPERSONAL,080208OD,4,3,1,2,10,6,27,18,9,30,2_6,2_27,2_18,2_9,2_30,0,1,0,0,0,25,19,19,21,19,0,1,0,0,0,,,,,,10,10,10,10,6,10,6,10,10,10,10,0,0.25,0.25,0.25,0.25,1,0.75,0.75,0.75,0.75,0,0.25,0.25,0.25,0.25,19,21,21,21,21,,
2,IMPERSONAL,080208OD,5,3,1,3,10,11,2,23,14,5,2_11,2_2,2_23,2_14,2_5,0,1,0,1,1,21,20,21,18,20,0,0,0,0,0,,,,,,10,7,10,6,10,10,6,7,10,10,10,1,1,0.333333333,0.333333333,0.333333333,0,0,0.666666667,0.666666667,0.666666667,0,0,0,0,0,18,20,20.66666667,20.66666667,20.66666667,,
2,IMPERSONAL,080208OD,6,3,1,4,8,16,7,28,19,10,2_16,2_7,2_28,2_19,2_10,0,0,1,0,0,18,20,19,20,21,0,0,0,0,0,,,,,,3,6,8,6,4,6,3,4,6,6,8,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,18,21,20,20,19,,
2,IMPERSONAL,080208OD,1,3,2,6,5,21,12,3,24,15,2_21,2_12,2_3,2_24,2_15,0,0,1,0,1,19,18,18,18,21,0,0,0,0,1,,,,,,0,0,0,0,1,0,0,0,0,0,1,0.25,0.25,0.25,0.25,1,0.75,0.75,0.75,0.75,0,0,0,0,0,1,18.25,18.25,18.25,18.25,21,,
2,IMPERSONAL,080208OD,2,3,2,1,10,26,17,8,29,20,2_26,2_17,2_8,2_29,2_20,0,1,1,1,1,22,18,18,29,34,0,0,1,1,0,,,,,,7,10,7,10,7,7,7,7,7,10,10,0.666666667,0.666666667,0.666666667,1,1,0.333333333,0.333333333,0.333333333,0,0,0.333333333,0.333333333,0.333333333,0.5,0.5,24.66666667,24.66666667,24.66666667,23.5,23.5,,
2,IMPERSONAL,080208OD,3,3,2,2,10,1,22,13,4,25,2_1,2_22,2_13,2_4,2_25,1,0,1,0,0,21,18,18,18,22,1,0,0,0,0,,,,,,1,5,10,7,10,7,1,5,7,10,10,1,0,0,0.5,0.5,0,1,1,0.5,0.5,1,0,0,0,0,21,18,18,20,20,,
2,IMPERSONAL,080208OD,4,3,2,3,10,6,27,18,9,30,2_6,2_27,2_18,2_9,2_30,0,1,0,0,0,25,19,19,21,19,0,1,0,0,0,,,,,,10,0,10,10,7,10,0,7,10,10,10,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,19,19,21.66666667,21.66666667,21.66666667,,
2,IMPERSONAL,080208OD,5,3,2,4,10,11,2,23,14,5,2_11,2_2,2_23,2_14,2_5,0,1,0,1,1,21,20,21,18,20,0,0,0,0,0,,,,,,10,7,10,6,10,10,6,7,10,10,10,1,1,0.333333333,0.333333333,0.333333333,0,0,0.666666667,0.666666667,0.666666667,0,0,0,0,0,18,20,20.66666667,20.66666667,20.66666667,,
2,IMPERSONAL,080208OD,6,3,2,5,0,16,7,28,19,10,2_16,2_7,2_28,2_19,2_10,0,0,1,0,0,18,20,19,20,21,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.8,0.8,0.8,0.8,0.8,0,0,0,0,0,19.6,19.6,19.6,19.6,19.6,,
3,DELIBERATION,080208R5,1,1,1,1,10,1,2,3,4,5,3_1,3_2,3_3,3_4,3_5,1,1,0,0,1,19,21,22,39,21,1,1,0,0,1,,,,,,2,0,5,8,0,0,0,0,2,5,8,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,21,21,19,22,39,,
3,DELIBERATION,080208R5,2,1,1,2,7,6,7,8,9,10,3_6,3_7,3_8,3_9,3_10,1,1,1,1,1,22,18,18,22,20,0,0,0,1,0,,,,,,6,7,6,7,7,7,6,6,7,7,7,1,1,1,1,1,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,20,20,20,20,20,,
3,DELIBERATION,080208R5,3,1,1,3,8,11,12,13,14,15,3_11,3_12,3_13,3_14,3_15,0,0,0,1,0,20,21,22,20,25,0,1,0,0,0,,,,,,10,8,7,5,0,5,0,5,7,8,10,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,25,20,22,21,20,,
