session	phase	dec_in_phase	group_nb	group_id	session_ind	ind_id	ind_partner	first_offer	ind_ind	ind_g	group_dec	ind_ind_norm	ind_g_norm	group_dec_norm	absdiff_group_ind	ind_g_is_1st	ind_g_is_2nd	ind_g_is_3rd	ind_g_is_4th	ind_g_is_5th	pr_ind_g_norm	pr_group_dec_norm	pr_diff_group_ind	pr_i_was_1st	pr_i_was_2nd	pr_i_was_3rd	pr_i_was_4th	pr_i_was_5th	pr_i_was_1st_x_pr_diff_group_ind	pr_i_was_2nd_x_pr_diff_group_ind	pr_i_was_3rd_x_pr_diff_group_ind	pr_i_was_4th_x_pr_diff_group_ind	pr_i_was_5th_x_pr_diff_group_ind
1	3	1	2	132	18	118	6	9		0	8		-9	-1	8	0.5	0.5	0	0	0	-9	-9	0	1	1	1	1	0	0	0	0	0	0
1	3	1	2	132	20	120	6	9		0	8		-9	-1	8	0.5	0.5	0	0	0	-10	-1	9	1	0	0	0	0	9	0	0	0	0
1	3	1	3	133	1	101	1	6		0	1		-6	-5	1	0.25	0.25	0.25	0.25	0	-3	-2	1	1	1	1	0	0	1	1	1	0	0
1	3	1	3	133	3	103	1	6		0	1		-6	-5	1	0.25	0.25	0.25	0.25	0	-6	-5	1	1	1	1	0	0	1	1	1	0	0
1	3	1	3	133	5	105	1	6		0	1		-6	-5	1	0.25	0.25	0.25	0.25	0	-3	-2	1	1	1	1	0	0	1	1	1	0	0
1	3	1	3	133	12	112	1	6		8	1		2	-5	7	0	0	0	0	1	-5	-1	4	0	1	0	0	0	0	4	0	0	0
1	3	1	3	133	14	114	1	6		0	1		-6	-5	1	0.25	0.25	0.25	0.25	0	-9	-9	0	1	1	1	1	0	0	0	0	0	0
1	3	1	4	134	6	106	2	8		0	5		-8	-3	5	0.5	0.5	0	0	0	-9	-9	0	1	1	1	1	0	0	0	0	0	0
1	3	1	4	134	8	108	2	8		8	5		0	-3	3	0	0	0.3333333	0.3333333	0.3333333	0	-1	-1	0	0	0	1	1	0	0	0	-1	-1
1	3	1	4	134	10	110	2	8		8	5		0	-3	3	0	0	0.3333333	0.3333333	0.3333333	-1	-9	-8	0	0	0	0	1	0	0	0	0	-8
1	3	1	4	134	17	117	2	8		8	5		0	-3	3	0	0	0.3333333	0.3333333	0.3333333	0	-2	-2	0	0	0	0	1	0	0	0	0	-2
1	3	1	4	134	19	119	2	8		0	5		-8	-3	5	0.5	0.5	0	0	0	-6	-5	1	1	1	1	0	0	1	1	1	0	0
1	3	2	1	131	2	102	6	9		0	1		-9	-8	1	0.3333333	0.3333333	0.3333333	0	0	-3	-3	0	1	1	1	1	0	0	0	0	0	0
1	3	2	1	131	4	104	6	9		6	1		-3	-8	5	0	0	0	0	1	-1	-3	-2	0	0	0	0	1	0	0	0	0	-2
1	3	2	1	131	11	111	6	9		5	1		-4	-8	4	0	0	0	1	0	-3	-3	0	1	1	1	1	0	0	0	0	0	0
1	3	2	1	131	13	113	6	9		0	1		-9	-8	1	0.3333333	0.3333333	0.3333333	0	0	-3	-3	0	1	1	1	1	0	0	0	0	0	0
1	3	2	1	131	15	115	6	9		0	1		-9	-8	1	0.3333333	0.3333333	0.3333333	0	0	-3	-3	0	1	1	1	1	0	0	0	0	0	0
1	3	2	2	132	7	107	1	6		6	5		0	-1	1	0	0	0	0.5	0.5	0	-1	-1	0	0	1	1	1	0	0	-1	-1	-1
1	3	2	2	132	9	109	1	6		5	5		-1	-1	0	0	0.5	0.5	0	0	0	-1	-1	0	0	1	1	1	0	0	-1	-1	-1
1	3	2	2	132	16	116	1	6		6	5		0	-1	1	0	0	0	0.5	0.5	0	-1	-1	0	0	1	1	1	0	0	-1	-1	-1
1	3	2	2	132	18	118	1	6		5	5		-1	-1	0	0	0.5	0.5	0	0	-9	-1	8	1	1	0	0	0	8	8	0	0	0
1	3	2	2	132	20	120	1	6		4	5		-2	-1	1	1	0	0	0	0	-9	-1	8	1	1	0	0	0	8	8	0	0	0
1	3	2	3	133	1	101	2	8		0	0		-8	-8	0	0.25	0.25	0.25	0.25	0	-6	-5	1	1	1	1	1	0	1	1	1	1	0
1	3	2	3	133	3	103	2	8		0	0		-8	-8	0	0.25	0.25	0.25	0.25	0	-6	-5	1	1	1	1	1	0	1	1	1	1	0
1	3	2	3	133	5	105	2	8		0	0		-8	-8	0	0.25	0.25	0.25	0.25	0	-6	-5	1	1	1	1	1	0	1	1	1	1	0
1	3	2	3	133	12	112	2	8		8	0		0	-8	8	0	0	0	0	1	2	-5	-7	0	0	0	0	1	0	0	0	0	-7
1	3	2	3	133	14	114	2	8		0	0		-8	-8	0	0.25	0.25	0.25	0.25	0	-6	-5	1	1	1	1	1	0	1	1	1	1	0
1	3	2	4	134	6	106	3	9		7	3		-2	-6	4	0	0	0	1	0	-8	-3	5	1	1	0	0	0	5	5	0	0	0
1	3	2	4	134	8	108	3	9		0	3		-9	-6	3	0.3333333	0.3333333	0.3333333	0	0	0	-3	-3	0	0	1	1	1	0	0	-3	-3	-3
1	3	2	4	134	10	110	3	9		0	3		-9	-6	3	0.3333333	0.3333333	0.3333333	0	0	0	-3	-3	0	0	1	1	1	0	0	-3	-3	-3
1	3	2	4	134	17	117	3	9		9	3		0	-6	6	0	0	0	0	1	0	-3	-3	0	0	1	1	1	0	0	-3	-3	-3
1	3	2	4	134	19	119	3	9		0	3		-9	-6	3	0.3333333	0.3333333	0.3333333	0	0	-8	-3	5	1	1	0	0	0	5	5	0	0	0
2	1	1	1	211	1	201	1	5		0	1		-5	-4	1	1	0	0	0	0				1	1	1	1	1					
2	1	1	1	211	2	202	1	5		5	1		0	-4	4	0	0	0	0.5	0.5				1	1	1	1	1					
