session,sestype,sess_code,group_nb,part,dec,g_memb_1,g_memb_2,g_memb_3,g_memb_4,g_memb_5,sess_sub1,sess_sub2,sess_sub3,sess_sub4,sess_sub5,male_1,male_2,male_3,male_4,male_5,age_1,age_2,age_3,age_4,age_5,econ_1,econ_2,econ_3,econ_4,econ_5,ind1,ind2,ind3,ind4,ind5,s1,s2,s3,s4,s5,gr,1st,2nd,3rd,4th,5th,1sti,2ndi,3rdi,4thi,5thi,gri,1st_male,2nd_male,3rd_male,4th_male,5th_male,1st_female,2nd_female,3rd_female,4th_female,5th_female,1st_econ,2nd_econ,3rd_econ,4th_econ,5th_econ,1st_age,2nd_age,3rd_age,4th_age,5th_age
2,IMPERSONAL,080208OD,3,1,5,11,12,13,14,15,2_11,2_12,2_13,2_14,2_15,0,0,1,1,1,21,18,18,18,21,0,0,0,0,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,19.2,19.2,19.2,19.2,19.2
2,IMPERSONAL,080208OD,3,1,6,11,12,13,14,15,2_11,2_12,2_13,2_14,2_15,0,0,1,1,1,21,18,18,18,21,0,0,0,0,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,19.2,19.2,19.2,19.2,19.2
2,IMPERSONAL,080208OD,3,1,7,11,12,13,14,15,2_11,2_12,2_13,2_14,2_15,0,0,1,1,1,21,18,18,18,21,0,0,0,0,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,19.2,19.2,19.2,19.2,19.2
2,IMPERSONAL,080208OD,3,1,8,11,12,13,14,15,2_11,2_12,2_13,2_14,2_15,0,0,1,1,1,21,18,18,18,21,0,0,0,0,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,19.2,19.2,19.2,19.2,19.2
2,IMPERSONAL,080208OD,3,1,9,11,12,13,14,15,2_11,2_12,2_13,2_14,2_15,0,0,1,1,1,21,18,18,18,21,0,0,0,0,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,19.2,19.2,19.2,19.2,19.2
2,IMPERSONAL,080208OD,3,1,10,11,12,13,14,15,2_11,2_12,2_13,2_14,2_15,0,0,1,1,1,21,18,18,18,21,0,0,0,0,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,19.2,19.2,19.2,19.2,19.2
2,IMPERSONAL,080208OD,4,1,1,16,17,18,19,20,2_16,2_17,2_18,2_19,2_20,0,1,0,0,1,18,18,19,20,34,0,0,0,0,0,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,21.8,21.8,21.8,21.8,21.8
2,IMPERSONAL,080208OD,4,1,2,16,17,18,19,20,2_16,2_17,2_18,2_19,2_20,0,1,0,0,1,18,18,19,20,34,0,0,0,0,0,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,21.8,21.8,21.8,21.8,21.8
2,IMPERSONAL,080208OD,4,1,3,16,17,18,19,20,2_16,2_17,2_18,2_19,2_20,0,1,0,0,1,18,18,19,20,34,0,0,0,0,0,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,21.8,21.8,21.8,21.8,21.8
2,IMPERSONAL,080208OD,4,1,4,16,17,18,19,20,2_16,2_17,2_18,2_19,2_20,0,1,0,0,1,18,18,19,20,34,0,0,0,0,0,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,21.8,21.8,21.8,21.8,21.8
2,IMPERSONAL,080208OD,4,1,5,16,17,18,19,20,2_16,2_17,2_18,2_19,2_20,0,1,0,0,1,18,18,19,20,34,0,0,0,0,0,,,,,,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0.666666667,0.666666667,0.666666667,0,0,0.333333333,0.333333333,0.333333333,1,1,0,0,0,0,0,24,24,24,18.5,18.5
2,IMPERSONAL,080208OD,4,1,6,16,17,18,19,20,2_16,2_17,2_18,2_19,2_20,0,1,0,0,1,18,18,19,20,34,0,0,0,0,0,,,,,,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0.666666667,0.666666667,0.666666667,0,0,0.333333333,0.333333333,0.333333333,1,1,0,0,0,0,0,24,24,24,18.5,18.5
2,IMPERSONAL,080208OD,4,1,7,16,17,18,19,20,2_16,2_17,2_18,2_19,2_20,0,1,0,0,1,18,18,19,20,34,0,0,0,0,0,,,,,,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0.5,0.5,0.333333333,0.333333333,0.333333333,0.5,0.5,0.666666667,0.666666667,0.666666667,0,0,0,0,0,27,27,18.33333333,18.33333333,18.33333333
2,IMPERSONAL,080208OD,4,1,8,16,17,18,19,20,2_16,2_17,2_18,2_19,2_20,0,1,0,0,1,18,18,19,20,34,0,0,0,0,0,,,,,,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0.5,0.5,0.333333333,0.333333333,0.333333333,0.5,0.5,0.666666667,0.666666667,0.666666667,0,0,0,0,0,27,27,18.33333333,18.33333333,18.33333333
2,IMPERSONAL,080208OD,4,1,9,16,17,18,19,20,2_16,2_17,2_18,2_19,2_20,0,1,0,0,1,18,18,19,20,34,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,21.8,21.8,21.8,21.8,21.8
2,IMPERSONAL,080208OD,4,1,10,16,17,18,19,20,2_16,2_17,2_18,2_19,2_20,0,1,0,0,1,18,18,19,20,34,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,21.8,21.8,21.8,21.8,21.8
2,IMPERSONAL,080208OD,5,1,1,21,22,23,24,25,2_21,2_22,2_23,2_24,2_25,0,0,0,0,0,19,18,21,18,22,0,0,0,0,0,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,19.6,19.6,19.6,19.6,19.6
2,IMPERSONAL,080208OD,5,1,2,21,22,23,24,25,2_21,2_22,2_23,2_24,2_25,0,0,0,0,0,19,18,21,18,22,0,0,0,0,0,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,19.6,19.6,19.6,19.6,19.6
2,IMPERSONAL,080208OD,5,1,3,21,22,23,24,25,2_21,2_22,2_23,2_24,2_25,0,0,0,0,0,19,18,21,18,22,0,0,0,0,0,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,19.6,19.6,19.6,19.6,19.6
2,IMPERSONAL,080208OD,5,1,4,21,22,23,24,25,2_21,2_22,2_23,2_24,2_25,0,0,0,0,0,19,18,21,18,22,0,0,0,0,0,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,19.6,19.6,19.6,19.6,19.6
2,IMPERSONAL,080208OD,5,1,5,21,22,23,24,25,2_21,2_22,2_23,2_24,2_25,0,0,0,0,0,19,18,21,18,22,0,0,0,0,0,,,,,,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,19,19,19,19,22
2,IMPERSONAL,080208OD,5,1,6,21,22,23,24,25,2_21,2_22,2_23,2_24,2_25,0,0,0,0,0,19,18,21,18,22,0,0,0,0,0,,,,,,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,19.33333333,19.33333333,19.33333333,20,20
2,IMPERSONAL,080208OD,5,1,7,21,22,23,24,25,2_21,2_22,2_23,2_24,2_25,0,0,0,0,0,19,18,21,18,22,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,19.6,19.6,19.6,19.6,19.6
2,IMPERSONAL,080208OD,5,1,8,21,22,23,24,25,2_21,2_22,2_23,2_24,2_25,0,0,0,0,0,19,18,21,18,22,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,19.6,19.6,19.6,19.6,19.6
2,IMPERSONAL,080208OD,5,1,9,21,22,23,24,25,2_21,2_22,2_23,2_24,2_25,0,0,0,0,0,19,18,21,18,22,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,19.6,19.6,19.6,19.6,19.6
2,IMPERSONAL,080208OD,5,1,10,21,22,23,24,25,2_21,2_22,2_23,2_24,2_25,0,0,0,0,0,19,18,21,18,22,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,19.6,19.6,19.6,19.6,19.6
2,IMPERSONAL,080208OD,6,1,1,26,27,28,29,30,2_26,2_27,2_28,2_29,2_30,0,1,1,1,0,22,19,19,29,19,0,1,0,1,0,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,21.6,21.6,21.6,21.6,21.6
2,IMPERSONAL,080208OD,6,1,2,26,27,28,29,30,2_26,2_27,2_28,2_29,2_30,0,1,1,1,0,22,19,19,29,19,0,1,0,1,0,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,21.6,21.6,21.6,21.6,21.6
2,IMPERSONAL,080208OD,6,1,3,26,27,28,29,30,2_26,2_27,2_28,2_29,2_30,0,1,1,1,0,22,19,19,29,19,0,1,0,1,0,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,21.6,21.6,21.6,21.6,21.6
2,IMPERSONAL,080208OD,6,1,4,26,27,28,29,30,2_26,2_27,2_28,2_29,2_30,0,1,1,1,0,22,19,19,29,19,0,1,0,1,0,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,21.6,21.6,21.6,21.6,21.6
2,IMPERSONAL,080208OD,6,1,5,26,27,28,29,30,2_26,2_27,2_28,2_29,2_30,0,1,1,1,0,22,19,19,29,19,0,1,0,1,0,,,,,,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0,0.25,0.25,0.25,0.25,1,22.25,22.25,22.25,22.25,19
2,IMPERSONAL,080208OD,6,1,6,26,27,28,29,30,2_26,2_27,2_28,2_29,2_30,0,1,1,1,0,22,19,19,29,19,0,1,0,1,0,,,,,,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0.666666667,0.666666667,0.666666667,0.5,0.5,0.333333333,0.333333333,0.333333333,0.5,0.5,0.333333333,0.333333333,0.333333333,0.5,0.5,23.33333333,23.33333333,23.33333333,19,19
2,IMPERSONAL,080208OD,6,1,7,26,27,28,29,30,2_26,2_27,2_28,2_29,2_30,0,1,1,1,0,22,19,19,29,19,0,1,0,1,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,21.6,21.6,21.6,21.6,21.6
2,IMPERSONAL,080208OD,6,1,8,26,27,28,29,30,2_26,2_27,2_28,2_29,2_30,0,1,1,1,0,22,19,19,29,19,0,1,0,1,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,21.6,21.6,21.6,21.6,21.6
2,IMPERSONAL,080208OD,6,1,9,26,27,28,29,30,2_26,2_27,2_28,2_29,2_30,0,1,1,1,0,22,19,19,29,19,0,1,0,1,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,21.6,21.6,21.6,21.6,21.6
2,IMPERSONAL,080208OD,6,1,10,26,27,28,29,30,2_26,2_27,2_28,2_29,2_30,0,1,1,1,0,22,19,19,29,19,0,1,0,1,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,21.6,21.6,21.6,21.6,21.6
